# Items Reference
# Usage: /item <ID>   or   /item <ID> <quantity>

ID       Name                                         Identifier
--------------------------------------------------------------------------------
0        Coins                                        coins_1
1        Coins                                        coins_2_99
2        Coins                                        coins_100_999
3        Coins                                        coins_1000
4        Fox fur                                      fox_fur
5        Red fox fur                                  red_fox_fur
6        Light fox fur                                light_fox_fur
7        Chung ryong key                              chung_ryong_key
8        Fox tail                                     fox_tail
9        Fox blade                                    fox_blade
10       Key to Fire                                  key_to_fire
11       Key to Earth                                 key_to_earth
12       Key to Heaven                                key_to_heaven
13       Ju jak key                                   ju_jak_key
14       Key to Pond                                  key_to_pond
15       Key to Water                                 key_to_water
16       Magical dust                                 magical_dust
17       Key to Mountain                              key_to_mountain
18       Wolf pelt                                    wolf_pelt
19       Key to Thunder                               key_to_thunder
20       Hyun moo key                                 hyun_moo_key
21       Key to Wind                                  key_to_wind
22       Baekho key                                   baekho_key
23       Nagnang compass                              nagnang_compass
24       Lockpick                                     lockpick
25       Iron key                                     iron_key
26       Suspicious note                              suspicious_note
27       Poisoned bracelet                            poisoned_bracelet
28       Handwritten note                             handwritten_note
29       Slumberquick                                 slumberquick
30       Slumbering Hwan                              slumbering_hwan
99       wooden sword                                 wooden_sword_trap
100      ==PEASANT GEAR==                             ==PEASANT GEAR==
101      ====\\\\ PEASANT WEAPONS \\\\ ====           ====\\\\ PEASANT WEAPONS \\\\ ====
102      Wooden saber                                 wooden_saber
103      Wisdom of the Ages                           wisdom_of_the_ages
108      Viper stick                                  viper_stick
109      Titanium blade                               titanium_blade
110      Sword of power                               sword_of_power
111      Peasant garb                                 peasant_garb
112      Peasant dress                                peasant_dress
113      Novice sword                                 novice_sword
114      Military fork                                military_fork
115      Runed dagger                                 runed_dagger
116      Iron sword                                   iron_sword
117      Lantern                                      lantern
118      Giasomo stick                                giasomo_stick
119      Frozen spear                                 frozen_spear
120      Flamefang                                    flamefang
121      Ice sabre                                    ice_sabre
122      Long spear                                   long_spear
123      Might spear                                  might_spear
124      Faerie light                                 faerie_light
125      Stone axe                                    stone_axe
126      Steel blade                                  steel_blade
219      Tarnished shield                             tarnished_shield
500      War platemail                                war_platemail
501      Spring mail dress                            spring_mail_dress
502      Spring war dress                             spring_war_dress
503      Scale Mail                                   scale_mail
504      Spring Armor Dress                           spring_armor_dress
505      Steel dagger                                 steel_dagger
506      Steel saber                                  steel_saber
507      Steel sword                                  steel_sword
508      Spring dress                                 spring_dress
509      Spring blouse                                spring_blouse
510      Spring skirt                                 spring_skirt
511      Spring gown                                  spring_gown
512      Wedding dress                                wedding_dress
513      Peasant clothes                              peasant_clothes
514      Spring garb                                  spring_garb
515      Spring robes                                 spring_robes
516      Merchant waistcoat                           merchant_waistcoat
517      Green cloak                                  green_cloak
518      Wedding cloak                                wedding_cloak
519      Fine steel dagger                            fine_steel_dagger
520      Rusty shortsword                             rusty_shortsword
521      Spring mantle                                spring_mantle
522      Spring drapery                               spring_drapery
1000     Short bow                                    short_bow
1001     Jolt trident                                 jolt_trident
1002     Swift sword                                  swift_sword
1003     Bright staff                                 bright_staff
1004     Frost sabre                                  frost_sabre
1005     Student cap                                  student_cap
1006     Merchant armor                               merchant_armor
1007     Dark staff                                   dark_staff
1008     Crystal staff                                crystal_staff
1500     ==== EVENT ITEMS ====                        ==== EVENT ITEMS ====
1501     Crystal Shard                                crystal_shard
