Map IDs — NexusTK
Usage: /warp <id>  or  /warp <id> <x> <y>
Names are derived from warps.txt comments; a map may appear under multiple names.

ID       Location(s)
--------------------------------------------------------------------------------
0        ATG, Baegi Shop, Baek Shop, Bamboo Tavern, Beard Smith, Cry Seams, Cuti Seams, Dae shore?, Hallowed Pass, Koguryo Valley, Kugnae, Kugnae gathering, KUGRogue Guild, KUGWarrior Guild, Red Cap Messenger, Sun Moon Clan, Suni Butcher, Tower Arena, Tutor Ironheart, Walsuk Tavern
1        Tutorial 2, Welcome
2        Kugnae, Walsuk Tavern
3        Beard Smith, Kugnae
5        Cuti Seams, Kugnae
6        Kugnae, Suni Butcher
7        Kugnae, Red Cap Messenger
8        Cry Seams, Kugnae
11       Kugnae, KUGWarrior, KUGWarrior Guild, Tebaek Sanctum
12       KUGWarrior, Tebaek Sanctum
15       Kugnae, KUGRogue, KUGRogue Guild, Maro Sanctum
16       KUGRogue, Maro Sanctum
17       Archon view, meeting Room
18       Buya, Pepper Tavern
28       Baek Shop, Kugnae
29       Baegi Shop, Kugnae
30       Baek Shop, Kugnae
31       Kugnae, Tower Arena
36       Kugnae, Tutor Ironheart
38       Bamboo Tavern, Kugnae
41       dog, dragon, horse, monkey, mythic, mythic vally, ox, pig, rabbit, rat, rooster, sheep, snake, tiger, Warp Peak
42       Hamgyong Nam-Do, Home of Ugh
52       Buya, Rat Race, Thousdand Legs
54       Rat Race, Thousdand Legs
99       Hamgyong Nam-Do, NHV, warp peak
114      Five Rings, Hamgyong Nam-Do, Hamgyong River, Home of Ugh, Murky Divide, NHV, Slogs, The Flats
115      Five Rings, Hamgyong Nam-Do
141      Hamgyong Nam-Do, The Flats
188      Archon view, Buya, Meeting Room
270      Hamgyong Nam-do, Slogs, Sodden Corridor
271      Slog's Vestibule & Final Refuge, Slogs, Sodden Corridor
272      Slog's Chamber, Slog's Vestibule, Slog's Vestibule & Final Refuge, Sodden Corridor
273      Slog's Vestibule & Final Refuge, Sodden Corridor
274      Slog's Chamber, Slog's Vestibule
275      Hamgyong Nam-Do, Hamgyong River
284      Gates of Hamgyong, Hamgyong Nam-Do, Murky Divide
288      Gates of Hamgyong, Murky Divide
330      Arena, Armordude, Bagai Shop, BButcher, Buya, Buya Courtyard, Buya Gathering, Buya Inn, Buya smith, Buya Theater, Buya vally, Chaple, felis shaman, Fox cave, Haunted house, Heavens clan, Islets, Jadespear, key, Library, Mage Guild, Meeting Room, Oh san raid, Paryu Message, Pepper Tavern, Pitch Shop, Poet Guild, Rabbit cave, Rat Race, Rogue Guild, Salon, Shadow Dragon, Tailor, Warrior Guild, wilderness valley
332      Buya, Buya Inn, Inn, Tutorial 6
333      Buya, Buya smith
334      BButcher, Buya
335      Buya, Tailor
336      Armordude, Buya
337      Buya, Paryu Message
338      Buya, felis shaman
340      Buya, Chaple
341      Buya, Warrior Guild, WS
342      Buya, Mage Guild, MS
343      Buya, Rogue Guild, RS
344      Buya, Poet Guild, PS
345      Buya, Shadow Dragon
351      Buya, Jadespear
356      Arena, Buya, Pyung, Sire Pit
359      Arena, Pyung
360      Arena, Sire Pit
363      Bagai Shop, Buya
364      Buya, Pitch Shop
365      Buya, Salon
390      Buya, Fox cave, fox cave2
393      fox cave, fox cave2, fox cave3
394      fox cave2, fox cave3
400      Buya, Rabbit cave
450      Buya, Haunted house, HH2
451      Haunted house, HH2, HH3
454      Haunted house, HH3
486      Buya, Library
487      Buya, Buya Theater
1000     Koguryo Valley, Kugnae, Wilderness
1001     Buya, Buya vally, Vale
1002     BarbarianCircle, Koguryo Valley, Northern Pass, Wilderness, wilderness valley
1003     Northern Pass, Wilderness
1004     Dae shore?, Kugnae
1005     Buya vally, mythic vally, Vale
1008     Buya, Islets
1009     Hallowed Pass, Kugnae
1011     Kugnae, Kugnae gathering, Warp Peak
1012     Buya, Buya Gathering, Warp Peak
1015     Buya, Wilderness, wilderness valley
1016     mythic, mythic vally, Vale
2500     Nagnang, Warp peak
2801     Assassin, Assassin2, Vortex
2802     Assassin, Assassin2, Assassin3
2803     Assassin2, Assassin3, Assassin4
2804     Assassin3, Assassin4, Assassin5
2805     Assassin4, Assassin5, Assassin6
2806     Assassin5, Assassin6, Assassin7
2807     Assassin6, Assassin7, Assassin8
2808     Assassin7, Assassin8
2811     Magus, Magus2, Vortex
2812     Magus, Magus2, Magus3
2813     Magus2, Magus3, Magus4
2814     Magus3, Magus4, Magus5
2815     Magus4, Magus5
2821     hunter, hunter big, Hunter2, hunter3, hunter4, hunter5, hunter6, hunter7, Hunter9, Vortex
2822     hunter, Hunter2, Hunter3
2823     hunter, Hunter2, Hunter3, Hunter4
2824     hunter, Hunter3, Hunter4, Hunter5
2825     hunter, Hunter4, Hunter5, Hunter6
2826     hunter, Hunter5, Hunter6, Hunter7
2827     hunter, hunter big, Hunter6, Hunter7
2828     hunter, hunter big, Hunter7, Hunter9
2829     hunter, hunter big, Hunter9
2831     hillman, hillman2, Vortex
