# Spells Reference
# Format: ID | Name | Identifier | Path | Level | Mark
# Usage: /givespell <ID>


## Peasant
ID       Name                                 Level    Mark   Identifier
---------------------------------------------------------------------------
0        ==BASEFUNCSPELLS==                   0        0      ==BASEFUNCSPELLS==
106      Mentor                               0        0      mentor
400      ===Sage Spells                       0        0      ===Sage Spells===
408      Return                               0        0      return_spell
101      Soothe                               1        0      soothe
103      Gateway                              1        0      gateway
104      Approach                             25       0      approach_spell
105      Summon                               25       0      summon_spell

## Warrior
ID       Name                                 Level    Mark   Identifier
---------------------------------------------------------------------------
1001     Taunt                                0        0      taunt_warrior
1002     Anger                                0        0      anger_warrior
1003     Tease                                0        0      tease_warrior
1004     Mock                                 0        0      mock_warrior
1005     Wolf's Fury                          0        0      wolfs_fury_warrior
1006     Soul's Rage                          0        0      souls_rage_warrior
1007     Spirit of the Forest                 0        0      spirit_of_the_forest_warrior
1008     Augmentation                         0        0      augmentation_warrior
1009     Bless                                0        0      bless_warrior
1010     Sancification                        0        0      sanctification_warrior
1011     Tribal Gathering                     0        0      tribal_gathering_warrior
1012     Strength of Purpose                  0        0      strength_of_purpose_warrior
1013     Fleshspeak                           0        0      fleshspeak_warrior
1014     Spiritsong                           0        0      spiritsong_warrior
1015     Helping Hand                         0        0      helping_hand_warrior
1016     Heal Others                          0        0      heal_others_warrior
1017     Backstab                             0        0      backstab_warrior
1018     Back Battle                          0        0      back_battle_warrior
1024     Back Attack                          0        0      back_attack_warrior
1025     Back Damage                          0        0      back_damage_warrior
1026     Flank                                0        0      flank_warrior
1027     Flank Battle                         0        0      flank_battle_warrior
1028     Flank Attack                         0        0      flank_attack_warrior
1029     Flank Damage                         0        0      flank_damage_warrior
1030     Tiger's Fury                         0        0      tigers_fury_warrior
1031     Filling the Soul                     0        0      filling_the_soul_warrior
1032     Spirit of the Wild                   0        0      spirit_of_the_wild_warrior
1033     Ohaeng's Grace                       0        0      ohaengs_grace_warrior
1034     Enchant                              0        0      enchant_warrior
1035     Spiritual Aid                        0        0      spiritual_aid_warrior
1036     Oneness                              0        0      oneness_warrior
1037     Strengthen Weapon                    0        0      strengthen_weapon_warrior
1038     Relief                               0        0      relief_warrior
1039     Renew Essence                        0        0      renew_essence_warrior
1040     Lifesong                             0        0      lifesong_warrior
1041     Sweet Waters                         0        0      sweet_waters_warrior
1042     Potence                              0        0      potence_warrior
1043     Spirit Arm                           0        0      spirit_arm_warrior
1044     Touch of the Bear                    0        0      touch_of_the_bear_warrior
1045     Sharpen                              0        0      sharpen_warrior
1046     Watchful Eye                         0        0      watchful_eye_warrior
1047     Spirit's Whisper                     0        0      spirits_whisper_warrior
1048     Creature's Guidance                  0        0      creatures_guidance_warrior
1049     Spot Unbalance                       0        0      spot_unbalance_warrior
1050     Dragon's Fury                        0        0      dragons_fury_warrior
1051     Strength of Ancestors                0        0      strength_of_ancestors_warrior
1052     Spirit of the Dragon                 0        0      spirit_of_the_dragon_warrior
1053     Ohaeng's Anger                       0        0      ohaengs_anger_warrior
1054     Infuse                               0        0      infuse_warrior
1055     Tincture of the Unknown              0        0      tincture_of_the_unknown_warrior
1056     Tiger's Claw                         0        0      tigers_claw_warrior
1057     Whetstone                            0        0      whetstone_warrior
1059     Ingress                              0        0      ingress_warrior
1060     Hand of Darkness                     0        0      hand_of_darkness_warrior
1061     Dragon's Claw                        0        0      dragons_claw_warrior
1062     Razor's Edge                         0        0      razors_edge_warrior
1064     Berserk                              0        0      berserk_warrior
1065     No Fear                              0        0      no_fear_warrior
1066     Tiger's Pounce                       0        0      tigers_pounce_warrior
1067     Wind's Blast                         0        0      winds_blast_warrior
1068     Vigor                                0        0      vigor_warrior
1069     Touch of Health                      0        0      touch_of_health_warrior
1070     Balm                                 0        0      balm_warrior
1071     Restoration                          0        0      restoration_warrior
1072     Whirlwind                            0        0      whirlwind_warrior
1073     Death's Angel                        0        0      deaths_angel_warrior
1074     Nature's Own                         0        0      natures_own_warrior
1075     Bladedance                           0        0      bladedance_warrior
1076     Hoche                                0        1      hoche_warrior
1077     Immunity                             0        1      immunity_warrior
1078     Forest Blessing                      0        1      forest_blessing_warrior
1079     Magic Shield                         0        1      magics_shield_warrior
1080     Salvation                            0        1      salvation_warrior
1081     Redemption                           0        1      redemption_warrior
1082     Ointment of Light                    0        1      ointment_of_light_warrior
1083     Return of Life                       0        1      return_of_life_warrior
1084     Viper's Venom                        0        1      vipers_venom_warrior
1085     Assault                              0        2      assault_warrior
1086     Death's Challenge                    0        2      deaths_challenge_warrior
1087     Cold Snap                            0        2      cold_snap_warrior
1088     Volley                               0        2      volley_warrior
1089     Dragon's Flame                       0        2      dragons_flame_warrior
1090     Hunang's Relief                      0        2      hunangs_relief_warrior
1091     From the Brink                       0        2      from_the_brink_warrior
1092     Nature's Slave                       0        2      natures_slave_warrior
1093     Life's Essence                       0        2      lifes_essence_warrior

## Rogue
ID       Name                                 Level    Mark   Identifier
---------------------------------------------------------------------------
2001     Fleshspeak                           0        0      fleshspeak_rogue
2002     Spiritsong                           0        0      spiritsong_rogue
2003     Helping Hand                         0        0      helping_hand_rogue
2004     Heal Others                          0        0      heal_others_rogue
